review_text,sentiment
Awful printer! Not worth the price.,negative
I love this cable. Great value for money.,positive
Decent monitor. Serves its purpose.,neutral
Superb earphones. Highly recommended!,positive
Great headphones with innovative features. Will buy again!,positive
This cable is okay. Could be better.,neutral
Poor quality hard drive. Stay away from this.,negative
Excellent charger! Very satisfied with the purchase.,positive
Best headphones I've ever used. Will buy again!,positive
Regular laptop. Acceptable quality.,neutral
Best microphone I've ever used. Very satisfied with the purchase.,positive
Waste of money on this printer. Poor quality.,negative
Horrible charger. Stay away from this.,negative
The smartwatch is fine. Nothing special.,neutral
Outstanding hard drive. Couldn't be happier!,positive
Worst smartphone ever. Regret the purchase.,negative
Horrible hard drive. Not as described.,negative
Brilliant webcam! Perfect for my needs.,positive
Excellent memory card! Highly recommended!,positive
Fantastic cable! Better than expected.,positive
This powerbank is terrible. Very misleading.,negative
"This cable is okay. Not bad, not great.",neutral
Basic headphones. Serves its purpose.,neutral
Acceptable printer. Decent for the price.,neutral
Basic webcam. As expected.,neutral
Great smartphone with comfortable to use. Perfect for my needs.,positive
Disappointing headphones. Very disappointed.,negative
Average hard drive. Average quality.,neutral
Brilliant headphones! Great value for money.,positive
Waste of money on this printer. Would not recommend.,negative
Awful camera! Regret the purchase.,negative
Average printer. Meets basic requirements.,neutral
Worst monitor ever. Regret the purchase.,negative
This webcam is okay. Average quality.,neutral
Brilliant smartwatch! Great value for money.,positive
This memory card is terrible. Regret the purchase.,negative
I love this printer. Worth every penny!,positive
Standard router. Decent for the price.,neutral
Average router. Average quality.,neutral
Horrible laptop. Not worth the price.,negative
"Usual headphones. Not bad, not great.",neutral
Horrible tablet. Very disappointed.,negative
Not bad charger. Could be better.,neutral
Acceptable smartphone. Meets basic requirements.,neutral
Horrible keyboard. Stay away from this.,negative
Superb router. Very satisfied with the purchase.,positive
This charger is terrible. Would not recommend.,negative
"Acceptable headphones. Not bad, not great.",neutral
Average monitor. Nothing special.,neutral
Bad camera. Would not recommend.,negative
Usual smartphone. Decent for the price.,neutral
This charger is amazing! Highly recommended!,positive
Standard cable. Standard features.,neutral
This cable is terrible. Very disappointed.,negative
Wonderful smartphone! Couldn't be happier!,positive
Brilliant charger! Great value for money.,positive
Regret buying this monitor. Stay away from this.,negative
Not bad speaker. Decent for the price.,neutral
Horrible hard drive. Would not recommend.,negative
Bad microphone. Not as described.,negative
Useless cable. Not as described.,negative
Outstanding printer. Very satisfied with the purchase.,positive
"The camera is fine. Not bad, not great.",neutral
The laptop is fine. Meets basic requirements.,neutral
Bad microphone. Regret the purchase.,negative
Worst charger ever. Very misleading.,negative
Acceptable monitor. As expected.,neutral
Worst tablet ever. Complete waste of money.,negative
This hard drive is amazing! Very satisfied with the purchase.,positive
Disappointing camera. Very disappointed.,negative
Brilliant keyboard! Perfect for my needs.,positive
This webcam is amazing! Worth every penny!,positive
"Standard speaker. Not bad, not great.",neutral
Outstanding laptop. Exceeded my expectations.,positive
Not bad printer. Meets basic requirements.,neutral
This camera is amazing! Will buy again!,positive
This cable is okay. Average quality.,neutral
Great laptop with amazing performance. Couldn't be happier!,positive
Bad webcam. Stay away from this.,negative
Standard monitor. Could be better.,neutral
Wonderful smartwatch! Great value for money.,positive
This speaker is amazing! Highly recommended!,positive
Average powerbank. Average quality.,neutral
Acceptable monitor. Decent for the price.,neutral
Standard charger. As expected.,neutral
Regular monitor. Serves its purpose.,neutral
Wonderful webcam! Will buy again!,positive
Poor quality mouse. Terrible experience.,negative
Best powerbank I've ever used. Will buy again!,positive
Regular charger. Could be better.,neutral
Acceptable hard drive. Meets basic requirements.,neutral
Basic hard drive. Serves its purpose.,neutral
Disappointing monitor. Very misleading.,negative
Great monitor with amazing performance. Very satisfied with the purchase.,positive
The headphones is fine. As expected.,neutral
This webcam is amazing! Couldn't be happier!,positive
Brilliant tablet! Highly recommended!,positive
This webcam is terrible. Poor quality.,negative
Useless speaker. Terrible experience.,negative
Regret buying this webcam. Not as described.,negative
Not bad tablet. As expected.,neutral
Fantastic printer! Will buy again!,positive
This earphones is terrible. Regret the purchase.,negative
Usual smartphone. Decent for the price.,neutral
Excellent cable! Highly recommended!,positive
This mouse is amazing! Exceeded my expectations.,positive
Acceptable laptop. Could be better.,neutral
This memory card is amazing! Highly recommended!,positive
Fantastic laptop! Great value for money.,positive
This charger is okay. As expected.,neutral
Acceptable webcam. As expected.,neutral
Acceptable webcam. Nothing special.,neutral
Excellent cable! Exceeded my expectations.,positive
Superb smartwatch. Great value for money.,positive
Excellent powerbank! Exceeded my expectations.,positive
Worst cable ever. Complete waste of money.,negative
Brilliant memory card! Very satisfied with the purchase.,positive
This printer is terrible. Very misleading.,negative
The charger is fine. Decent for the price.,neutral
Acceptable keyboard. Acceptable quality.,neutral
Awful powerbank! Would not recommend.,negative
Regular memory card. Acceptable quality.,neutral
Wonderful earphones! Exactly what I wanted.,positive
Brilliant router! Perfect for my needs.,positive
Excellent earphones! Highly recommended!,positive
Useless camera. Very disappointed.,negative
Average hard drive. Meets basic requirements.,neutral
Excellent charger! Highly recommended!,positive
Usual mouse. Nothing special.,neutral
Outstanding tablet. Perfect for my needs.,positive
Great tablet with fast processing. Highly recommended!,positive
Fantastic headphones! Couldn't be happier!,positive
Poor quality keyboard. Not worth the price.,negative
Great router with excellent build quality. Perfect for my needs.,positive
Excellent keyboard! Perfect for my needs.,positive
Usual earphones. Decent for the price.,neutral
Worst headphones ever. Complete waste of money.,negative
Decent monitor. Average quality.,neutral
Horrible earphones. Complete waste of money.,negative
Horrible router. Complete waste of money.,negative
Disappointing webcam. Regret the purchase.,negative
Poor quality laptop. Complete waste of money.,negative
Fantastic webcam! Will buy again!,positive
Regular headphones. Acceptable quality.,neutral
Horrible smartwatch. Stay away from this.,negative
Wonderful smartwatch! Couldn't be happier!,positive
Bad memory card. Not worth the price.,negative
Regret buying this memory card. Terrible experience.,negative
Horrible headphones. Terrible experience.,negative
Great smartphone with beautiful design. Very satisfied with the purchase.,positive
Superb powerbank. Very satisfied with the purchase.,positive
I love this microphone. Will buy again!,positive
Awful hard drive! Stay away from this.,negative
Not bad camera. Decent for the price.,neutral
Not bad speaker. Acceptable quality.,neutral
"Regular cable. Not bad, not great.",neutral
Excellent headphones! Worth every penny!,positive
Fantastic mouse! Exactly what I wanted.,positive
Usual mouse. Standard features.,neutral
Disappointing smartwatch. Poor quality.,negative
Worst speaker ever. Very misleading.,negative
Wonderful microphone! Great value for money.,positive
This charger is terrible. Regret the purchase.,negative
Usual tablet. Decent for the price.,neutral
Horrible camera. Poor quality.,negative
This charger is okay. Meets basic requirements.,neutral
Horrible charger. Complete waste of money.,negative
Superb hard drive. Exceeded my expectations.,positive
Outstanding printer. Couldn't be happier!,positive
This cable is terrible. Very misleading.,negative
Standard memory card. Acceptable quality.,neutral
Not bad printer. Serves its purpose.,neutral
Basic memory card. Standard features.,neutral
Bad speaker. Would not recommend.,negative
This smartwatch is amazing! Exactly what I wanted.,positive
Horrible mouse. Very misleading.,negative
Regret buying this powerbank. Not as described.,negative
Brilliant laptop! Worth every penny!,positive
Horrible memory card. Not as described.,negative
Basic powerbank. Acceptable quality.,neutral
"The smartwatch is fine. Not bad, not great.",neutral
Brilliant microphone! Better than expected.,positive
Awful memory card! Stay away from this.,negative
I love this monitor. Exceeded my expectations.,positive
This microphone is amazing! Highly recommended!,positive
Great memory card with beautiful design. Exceeded my expectations.,positive
